,"B Cell,PBMC","B Cell,lung","B Cell,lymph_node","B Cell,spleen","B Cell,thymus","Fibroblast,kidney","Fibroblast,lung","Fibroblast,thymus","NK Cell,PBMC","NK Cell,lung","NK Cell,lymph_node","NK Cell,spleen","NK Cell,thymus","T Cell,PBMC","T Cell,lung","T Cell,lymph_node","T Cell,spleen","T Cell,thymus"
0,IFNGR2,GNG7,LINC00926,FCMR,CTSH,ITPR2,RPS27L,TSPAN3,HAVCR2,KLRF1,PFN1,CEMIP2,JAML,GAPDH,TXN,SBDS,S100A9,GADD45G
1,EVI2B,SNHG25,PDLIM1,BANK1,CD82,GLIPR1,HMGN2,PTGDS,SH2D1B,PIP4K2A,PA2G4,CACYBP,TUBB4B,LAT,DDIT4,IL4I1,MYADM,ITM2A
2,LSM7,HERPUD1,PHACTR1,DNASE1L3,ATP2B1-AS1,PRXL2A,DSTN,PGRMC1,LAT2,GPR65,NDUFAB1,DNMT1,ARIH1,PPP2R5C,S100A6,TMEM70,SAMHD1,SERTAD1
3,CCR7,UBE2J1,POU2F2,HES4,STMN1,AKAP9,MIR4458HG,RCN1,WIPF1,TLE4,TESC,METRNL,CITED2,CAMK4,LGALS1,MZT2A,ILF3-DT,AQP3
4,ORAI2,LINC01781,HLA-DMB,MZB1,TUBA1B,VCAN,LTBP4,PLIN2,GCHFR,NOL4L,PSMA5,PLAAT4,ISG15,RORA,CBLB,BOLA2B,GSTK1,TNFRSF25
5,CHPT1,,LYN,,,KLF9,IFITM3,SRM,NFKB1,SPON2,NCL,PIK3R1,NR4A1,S100A11,HMGB2,SOCS3,MRPL11,OCIAD2
6,SESN3,,,,,ARHGAP18,FN1,LGALS3,TGFB1,ISG20,SELENOS,DDX3Y,RGS2,GRAP2,PIM2,DDX18,PRKCQ-AS1,
7,CMSS1,,,,,WNK1,ABLIM1,OSBPL8,LASP1,,HOPX,,BCAS2,MIAT,,,FBL,
8,TCEA1,,,,,ACTN1,QSOX1,RGS16,RSAD2,,PTTG1IP,,REX1BD,FAM177A1,,,CCDC85B,
9,,,,,,IL6ST,USP53,BRI3,GNG2,,RHOC,,PPP1R14B,ZNF90,,,,
10,,,,,,SYNE2,C3,HEBP2,APOBEC3G,,GABARAPL2,,ZC3H12A,EVI2A,,,,
11,,,,,,SYNE1,MYC,FKBP1A,SLFN5,,TLN1,,,,,,,
12,,,,,,PALLD,IL6,CCDC152,,,PDCD4,,,,,,,
13,,,,,,TPR,CLU,APOC1,,,HADHB,,,,,,,
14,,,,,,LAMB1,UAP1,REEP3,,,ARPC5L,,,,,,,
15,,,,,,RRBP1,,CD14,,,,,,,,,,
16,,,,,,UBE2E2,,EGR1,,,,,,,,,,
17,,,,,,HELLS,,GSN,,,,,,,,,,
18,,,,,,OSBPL1A,,,,,,,,,,,,
19,,,,,,NFIA,,,,,,,,,,,,
